eventID,facilityID,unitID,emitterID,mcRun,timestamp,command,state,event,duration,nextTS,gcKey,flowID,tsKey
0,,,,17,0,SIM-START,,,,,,,
1,test_fac,Well_1,,17,0,STATE_TRANSITION,RigPreparation,START,47699,47699,,,
2,test_fac,Well_2,,17,0,STATE_TRANSITION,RigPreparation,START,59400,59400,,,
3,test_fac,Well_3,,17,0,STATE_TRANSITION,RigPreparation,START,118800,118800,,,
4,test_fac,Well_4,,17,0,STATE_TRANSITION,RigPreparation,START,34199,34199,,,
5,test_fac,Well_5,,17,0,STATE_TRANSITION,RigPreparation,START,78300,78300,,,
6,test_fac,Well_6,,17,0,STATE_TRANSITION,RigPreparation,START,95400,95400,,,
7,test_fac,Well_7,,17,0,STATE_TRANSITION,RigPreparation,START,95400,95400,,,
8,test_fac,Well_8,,17,0,STATE_TRANSITION,RigPreparation,START,47699,47699,,,
9,test_fac,Well_9,,17,0,STATE_TRANSITION,RigPreparation,START,30600,30600,,,
10,test_fac,Well_10,,17,0,STATE_TRANSITION,RigPreparation,START,47699,47699,,,
11,test_fac,Well_11,,17,0,STATE_TRANSITION,RigPreparation,START,59400,59400,,,
12,test_fac,Well_12,,17,0,STATE_TRANSITION,RigPreparation,START,47699,47699,,,
13,test_fac,Well_13,,17,0,STATE_TRANSITION,RigPreparation,START,30600,30600,,,
14,test_fac,Well_14,,17,0,STATE_TRANSITION,RigPreparation,START,39599,39599,,,
15,test_fac,Well_15,,17,0,STATE_TRANSITION,RigPreparation,START,30600,30600,,,
16,test_fac,Well_16,,17,0,STATE_TRANSITION,RigPreparation,START,95400,95400,,,
17,test_fac,Well_17,,17,0,STATE_TRANSITION,RigPreparation,START,30600,30600,,,
18,test_fac,Well_18,,17,0,STATE_TRANSITION,RigPreparation,START,34199,34199,,,
19,test_fac,Well_9,,17,30600,STATE_TRANSITION,RigPreparation,STOP,0,30600,,,
20,test_fac,Well_9,,17,30600,STATE_TRANSITION,VerticalDrilling,START,59400,90000,,,
21,test_fac,Well_13,,17,30600,STATE_TRANSITION,RigPreparation,STOP,0,30600,,,
22,test_fac,Well_13,,17,30600,STATE_TRANSITION,VerticalDrilling,START,42299,72899,,,
23,test_fac,Well_15,,17,30600,STATE_TRANSITION,RigPreparation,STOP,0,30600,,,
24,test_fac,Well_15,,17,30600,STATE_TRANSITION,VerticalDrilling,START,71100,101700,,,
25,test_fac,Well_17,,17,30600,STATE_TRANSITION,RigPreparation,STOP,0,30600,,,
26,test_fac,Well_17,,17,30600,STATE_TRANSITION,VerticalDrilling,START,21600,52200,,,
27,test_fac,Well_4,,17,34199,STATE_TRANSITION,RigPreparation,STOP,0,34199,,,
28,test_fac,Well_4,,17,34199,STATE_TRANSITION,VerticalDrilling,START,71100,105299,,,
29,test_fac,Well_18,,17,34199,STATE_TRANSITION,RigPreparation,STOP,0,34199,,,
30,test_fac,Well_18,,17,34199,STATE_TRANSITION,VerticalDrilling,START,42299,76498,,,
31,test_fac,Well_14,,17,39599,STATE_TRANSITION,RigPreparation,STOP,0,39599,,,
32,test_fac,Well_14,,17,39599,STATE_TRANSITION,VerticalDrilling,START,21600,61199,,,
33,test_fac,Well_1,,17,47699,STATE_TRANSITION,RigPreparation,STOP,0,47699,,,
34,test_fac,Well_1,,17,47699,STATE_TRANSITION,VerticalDrilling,START,46800,94499,,,
35,test_fac,Well_8,,17,47699,STATE_TRANSITION,RigPreparation,STOP,0,47699,,,
36,test_fac,Well_8,,17,47699,STATE_TRANSITION,VerticalDrilling,START,46800,94499,,,
37,test_fac,Well_10,,17,47699,STATE_TRANSITION,RigPreparation,STOP,0,47699,,,
38,test_fac,Well_10,,17,47699,STATE_TRANSITION,VerticalDrilling,START,59400,107099,,,
39,test_fac,Well_12,,17,47699,STATE_TRANSITION,RigPreparation,STOP,0,47699,,,
40,test_fac,Well_12,,17,47699,STATE_TRANSITION,VerticalDrilling,START,59400,107099,,,
41,test_fac,Well_17,,17,52200,STATE_TRANSITION,VerticalDrilling,STOP,0,52200,,,
42,test_fac,Well_17,,17,52200,STATE_TRANSITION,HorizontalDrilling,START,143100,195300,,,
43,test_fac,Well_2,,17,59400,STATE_TRANSITION,RigPreparation,STOP,0,59400,,,
44,test_fac,Well_2,,17,59400,STATE_TRANSITION,VerticalDrilling,START,134099,193499,,,
45,test_fac,Well_11,,17,59400,STATE_TRANSITION,RigPreparation,STOP,0,59400,,,
46,test_fac,Well_11,,17,59400,STATE_TRANSITION,VerticalDrilling,START,65700,125100,,,
47,test_fac,Well_14,,17,61199,STATE_TRANSITION,VerticalDrilling,STOP,0,61199,,,
