eventID,facilityID,unitID,emitterID,mcRun,timestamp,command,state,event,duration,nextTS,gcKey,flowID,tsKey
0,,,,1,0,SIM-START,,,,,,,
1,test_fac,Well_1,,1,0,STATE_TRANSITION,RigPreparation,START,62100,62100,,,
2,test_fac,Well_2,,1,0,STATE_TRANSITION,RigPreparation,START,47699,47699,,,
3,test_fac,Well_3,,1,0,STATE_TRANSITION,RigPreparation,START,59400,59400,,,
4,test_fac,Well_4,,1,0,STATE_TRANSITION,RigPreparation,START,77399,77399,,,
5,test_fac,Well_5,,1,0,STATE_TRANSITION,RigPreparation,START,78300,78300,,,
6,test_fac,Well_6,,1,0,STATE_TRANSITION,RigPreparation,START,34199,34199,,,
7,test_fac,Well_7,,1,0,STATE_TRANSITION,RigPreparation,START,95400,95400,,,
8,test_fac,Well_8,,1,0,STATE_TRANSITION,RigPreparation,START,47699,47699,,,
9,test_fac,Well_9,,1,0,STATE_TRANSITION,RigPreparation,START,39599,39599,,,
10,test_fac,Well_10,,1,0,STATE_TRANSITION,RigPreparation,START,62100,62100,,,
11,test_fac,Well_11,,1,0,STATE_TRANSITION,RigPreparation,START,118800,118800,,,
12,test_fac,Well_12,,1,0,STATE_TRANSITION,RigPreparation,START,78300,78300,,,
13,test_fac,Well_13,,1,0,STATE_TRANSITION,RigPreparation,START,37800,37800,,,
14,test_fac,Well_14,,1,0,STATE_TRANSITION,RigPreparation,START,47699,47699,,,
15,test_fac,Well_6,,1,34199,STATE_TRANSITION,RigPreparation,STOP,0,34199,,,
16,test_fac,Well_6,,1,34199,STATE_TRANSITION,VerticalDrilling,START,21600,55799,,,
17,test_fac,Well_13,,1,37800,STATE_TRANSITION,RigPreparation,STOP,0,37800,,,
18,test_fac,Well_13,,1,37800,STATE_TRANSITION,VerticalDrilling,START,21600,59400,,,
19,test_fac,Well_9,,1,39599,STATE_TRANSITION,RigPreparation,STOP,0,39599,,,
20,test_fac,Well_9,,1,39599,STATE_TRANSITION,VerticalDrilling,START,71100,110699,,,
21,test_fac,Well_2,,1,47699,STATE_TRANSITION,RigPreparation,STOP,0,47699,,,
22,test_fac,Well_2,,1,47699,STATE_TRANSITION,VerticalDrilling,START,42299,89998,,,
23,test_fac,Well_8,,1,47699,STATE_TRANSITION,RigPreparation,STOP,0,47699,,,
